subjectId,choice,embedSignal,centeredVolume,blockBias
HAEB38,0,0,-1.0,0.352272727272727
HAEB38,1,0,-1.0,0.344086021505376
HAEB38,0,0,-1.0,0.340425531914894
HAEB38,0,0,-1.0,0.347368421052632
HAEB38,0,0,-1.0,0.350515463917526
HAEB38,0,0,-1.0,0.357142857142857
HAEB38,1,1,0.9709857515813286,0.36
HAEB38,0,0,-1.0,0.356435643564356
HAEB38,0,0,-1.0,0.368932038834951
HAEB38,0,0,-1.0,0.371428571428571
HAEB38,0,0,-1.0,0.383177570093458
HAEB38,0,0,-1.0,0.385321100917431
HAEB38,0,0,-1.0,0.387387387387387
HAEB38,1,0,-1.0,0.382608695652174
HAEB38,1,0,-1.0,0.379310344827586
HAEB38,0,0,-1.0,0.376068376068376
HAEB38,1,0,-1.0,0.378151260504202
HAEB38,1,0,-1.0,0.375
HAEB38,1,0,-1.0,0.371900826446281
HAEB38,0,0,-1.0,0.365853658536585
HAEB38,0,0,-1.0,0.370967741935484
HAEB38,1,0,-1.0,0.377952755905512
HAEB38,0,0,-1.0,0.375
HAEB38,0,0,-1.0,0.37984496124031
HAEB38,1,1,0.9788372737453828,0.384615384615385
HAEB38,1,0,-1.0,0.381679389312977
HAEB38,0,0,-1.0,0.378787878787879
HAEB38,0,0,-1.0,0.382352941176471
HAEB38,1,1,0.9960827121448969,0.388489208633094
HAEB38,1,0,-1.0,0.387323943661972
HAEB38,1,1,0.9599234612451016,0.384615384615385
HAEB38,1,1,0.991071923116898,0.39041095890411
HAEB38,1,0,-1.0,0.393333333333333
HAEB38,0,0,-1.0,0.390728476821192
HAEB38,1,0,-1.0,0.394736842105263
HAEB38,1,0,-1.0,0.393548387096774
HAEB38,0,0,-1.0,0.391025641025641
HAEB38,0,0,-1.0,0.394904458598726
HAEB38,0,0,-1.0,0.39873417721519
HAEB38,1,1,0.9559659529150968,0.40251572327044
HAEB38,1,0,-1.0,0.398773006134969
HAEB38,0,0,-1.0,0.396341463414634
HAEB38,0,0,-1.0,0.4
HAEB38,0,0,-1.0,0.403614457831325
HAEB38,1,0,-1.0,0.407185628742515
HAEB38,0,0,-1.0,0.404761904761905
HAEB38,1,0,-1.0,0.406976744186046
HAEB38,0,0,-1.0,0.402298850574713
HAEB38,0,0,-1.0,0.410112359550562
HAEB38,1,1,0.9449038608736552,0.41340782122905
HAEB38,0,0,-1.0,0.411111111111111
HAEB38,0,0,-1.0,0.414364640883978
HAEB38,1,1,0.9518078096787572,0.417582417582418
HAEB38,0,0,-1.0,0.416216216216216
HAEB38,1,0,-1.0,0.419354838709677
HAEB38,0,0,-1.0,0.420212765957447
HAEB38,1,1,0.988549098565866,0.424083769633508
HAEB38,0,0,-1.0,0.421875
HAEB38,0,0,-1.0,0.422680412371134
